@relation testset

@attribute apk_size numeric
@attribute dex_size numeric
@attribute min_andrversion numeric
@attribute max_andrversion numeric
@attribute target_andrversion numeric
@attribute installLocation numeric
@attribute security {-1,0}
@attribute methodCount numeric
@attribute classCount numeric
@attribute crypto_count numeric
@attribute dynCode_count numeric
@attribute native_count numeric
@attribute reflect_count numeric
@attribute sendSMS {1,0}
@attribute deleteSMS {1,0}
@attribute interruptSMS {1,0}
@attribute httpPost {1,0}
@attribute deviceId {1,0}
@attribute simCountry {1,0}
@attribute installedPkg {1,0}
@attribute loadOtherCode {1,0}
@attribute subprocess {1,0}
@attribute executeOtherCode {1,0}
@attribute jni {1,0}
@attribute unix {1,0}
@attribute buttonCount numeric
@attribute TextViewCount numeric
@attribute EditViewCount numeric
@attribute ImageButtonCount numeric
@attribute CheckBoxCount numeric
@attribute RadioGroupCount numeric
@attribute RadioButtonCount numeric
@attribute ToastCount numeric
@attribute SpinnerCount numeric
@attribute ListViewCount numeric
@attribute fileCount numeric
@attribute INTERNET {1,0}
@attribute SET_DEBUG_APP {1,0}
@attribute MODIFY_PHONE_STATE {1,0}
@attribute RECORD_AUDIO {1,0}
@attribute RECEIVE_BOOT_COMPLETED {1,0}
@attribute RECEIVE_MMS {1,0}
@attribute RECEIVE_SMS {1,0}
@attribute RECEIVE_WAP_PUSH {1,0}
@attribute SEND_SMS {1,0}
@attribute CALL_PHONE {1,0}
@attribute CALL_PRIVILEGED {1,0}
@attribute PROCESS_OUTGOING_CALLS {1,0}
@attribute READ_CALL_LOG {1,0}
@attribute READ_EXTERNAL_STORAGE {1,0}
@attribute READ_LOGS {1,0}
@attribute ACCESS_COARSE_LOCATION {1,0}
@attribute ACCESS_FINE_LOCATION {1,0}
@attribute BLUETOOTH {1,0}
@attribute CAMERA {1,0}
@attribute INSTALL_PACKAGES {1,0}
@attribute NFC {1,0}
@attribute READ_CONTACTS {1,0}
@attribute permissionCount numeric
@attribute activityCount numeric
@attribute serviceCount numeric
@attribute receiverCount numeric
@attribute providerCount numeric
@attribute exportedCount numeric
@attribute hPictureCount numeric
@attribute mPictureCount numeric
@attribute lPictureCount numeric
@attribute xPictureCount numeric
@attribute totalCount numeric

@data
13022178,6846004,9,0,23,0,0,41260,7093,0,0,580,188,1,0,0,1,1,1,1,0,1,0,1,0,58,247,0,10,15,3,1,0,9,17,3711,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,96,36,34,0,0,547,56,8,390,1001
12039728,7469548,9,0,22,0,0,52337,6840,0,0,733,77,1,0,0,1,1,1,1,0,1,0,0,0,25,100,0,5,6,0,1,0,2,8,2257,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,40,14,32,0,1,264,260,1,261,786
5881039,2180036,7,0,0,0,0,11091,1456,0,0,305,76,1,0,0,1,1,0,1,0,1,0,0,0,75,94,0,66,29,6,36,0,2,30,421,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,48,3,8,0,0,61,188,20,0,269
5929333,6659372,14,0,21,0,0,39992,6631,0,0,551,122,1,0,0,1,1,1,1,0,1,0,1,0,29,301,0,8,10,0,0,0,0,25,1243,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,87,13,16,2,28,91,36,2,79,208
12268127,5394024,15,0,22,0,0,29886,5737,0,0,308,125,0,0,0,1,1,0,1,0,0,0,1,0,28,142,0,5,14,0,7,0,1,18,2011,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,84,25,32,5,0,270,251,63,254,838
3516632,4563432,15,0,19,0,0,26539,4816,0,0,305,148,0,0,0,1,1,1,1,0,1,0,1,0,11,157,0,1,0,0,0,0,0,7,595,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,6,2,8,0,55,4,3,28,90
396349,389952,3,0,0,0,0,1391,283,0,0,15,0,1,0,0,1,1,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,62,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,15,2,1,0,0,0,0,0,0,0
5907052,3640656,8,0,8,0,0,22172,3754,0,0,487,128,1,0,1,1,1,0,1,0,1,0,1,0,71,461,0,33,48,0,0,0,0,44,1366,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,150,19,19,1,25,403,3,3,273,682
4442729,4131040,7,0,19,0,0,26587,3555,0,0,454,115,0,0,0,1,1,0,1,0,1,0,1,0,82,239,0,22,8,1,3,0,0,25,1085,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,40,9,0,0,0,413,55,0,176,644
3988433,733236,14,0,22,0,0,4303,844,0,0,50,11,0,0,0,1,1,0,1,0,1,0,1,0,0,22,0,0,2,1,0,0,0,4,493,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,19,5,8,1,0,0,0,0,0,0
2861921,2651292,9,0,22,0,0,16503,3465,0,0,284,44,0,0,0,1,1,1,1,0,1,0,0,0,6,41,0,4,2,0,0,0,0,0,482,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,41,6,9,0,0,87,28,0,135,250
11500667,8239968,15,0,23,0,0,54247,9468,0,0,1043,112,0,0,0,1,1,1,1,0,1,0,1,0,29,71,0,1,17,0,1,0,0,13,1581,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,109,27,27,0,10,329,172,23,368,892
352134,421352,7,0,0,0,0,1467,272,0,0,37,30,0,0,0,1,1,0,0,0,1,0,0,0,10,3,0,8,1,0,4,0,0,2,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
16650284,4933884,15,0,22,0,0,28359,3982,0,0,388,144,0,0,0,1,0,0,0,0,1,0,1,0,20,82,0,7,4,0,1,0,4,11,1561,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20,8,7,2,0,184,182,0,185,551
16093464,7509156,7,0,16,0,0,43996,7470,0,0,1520,575,1,0,1,1,1,0,1,0,1,0,1,0,11,125,0,1,0,0,0,0,0,4,1233,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,21,10,10,3,4,266,1,1,407,675
943542,413780,3,0,0,0,0,1772,314,0,0,27,23,0,0,0,1,0,1,1,0,1,0,0,0,0,9,0,1,0,0,0,0,0,1,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,15,1,6,0,0,0,0,0,0,0
2637497,423440,3,0,4,0,0,1480,264,0,0,50,26,0,0,0,1,1,0,0,0,1,0,0,0,12,6,0,0,0,0,0,0,0,0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0
7402188,2897428,7,0,16,0,0,16468,2432,0,0,285,60,0,0,0,1,1,1,0,0,1,0,1,0,9,42,0,9,2,2,9,0,0,5,1460,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27,5,3,0,0,339,335,50,343,1067
148671,194300,3,0,0,0,0,807,147,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0
12125838,6153784,15,0,22,0,0,33891,6742,0,0,252,141,0,0,0,1,1,0,1,0,0,0,1,0,29,143,0,7,14,0,7,0,1,19,2112,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,82,23,30,5,0,291,275,62,278,906
7937996,2845896,9,0,14,0,0,17467,2389,0,0,529,103,0,0,0,1,1,1,1,0,1,0,1,0,1,20,0,1,7,0,0,0,0,21,1344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,80,26,19,7,3,159,46,0,432,637
268168,281100,10,0,23,0,0,1211,341,0,0,15,45,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,5,0,0,12,12,0,12,36
1407371,419676,7,0,16,0,0,1645,355,0,0,31,2,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,3,0,0,0,0,1,253,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,27,1,6,0,0,159,4,0,0,163
3432687,3722900,14,0,20,0,0,22316,2138,0,0,197,35,0,0,0,1,1,0,1,0,1,0,1,0,17,57,0,0,2,0,0,0,0,7,246,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,1,9,15,2,0,98,115
38911,10348,1,0,0,0,0,26,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
59101,31664,1,0,0,0,0,114,24,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
467504,226240,8,0,10,0,0,823,139,0,0,33,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,3,0,0,23,19,19,0,61
2176153,2969368,10,0,17,0,0,19432,2951,0,0,513,50,0,0,0,1,1,0,0,0,1,0,1,0,3,33,0,5,1,0,1,0,0,4,491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,1,1,108,105,3,125,341
3582202,876316,7,0,0,0,0,4860,1017,0,0,59,50,1,0,0,1,1,0,1,0,1,0,1,0,64,147,0,3,26,6,28,0,2,32,865,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,90,8,14,1,0,308,18,13,0,339
202961,213064,3,0,4,0,0,725,122,0,0,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,1,2,1,0,0,0,0,0,0
166732,215700,3,0,0,0,0,1563,266,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,1,3,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
5975890,6943300,14,0,21,0,0,41153,5710,0,0,1165,71,0,0,0,1,1,0,0,0,1,0,0,0,0,92,0,6,1,0,1,0,0,16,671,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,19,2,4,1,1,95,95,0,98,288
70651,43020,3,0,3,0,0,166,52,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,2,0,1,9,0,0,0,9
14965435,7666032,14,0,14,0,0,50644,6839,0,0,876,210,1,0,0,1,1,1,1,0,1,0,1,0,6,67,0,10,18,1,1,0,2,48,2742,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,158,40,25,10,3,326,83,1,650,1060
315862,395788,3,0,0,0,0,1647,338,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,3,9,0,0,2,0,1,0,2,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,1,0,1,1,1,0,3
63615,60412,3,0,0,0,0,268,43,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,3
259786,191596,3,0,8,0,0,931,209,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,5,19,0,11,6,0,8,0,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1
118789,27944,3,0,0,0,0,100,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2155686,221584,3,0,0,0,0,1335,256,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,9,41,0,33,8,0,2,0,2,3,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0
12045728,7283584,7,0,16,0,0,44534,7319,0,0,1434,589,1,0,1,1,1,0,1,0,1,0,1,0,11,121,0,5,2,0,0,0,0,10,1339,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,21,9,9,3,4,445,3,2,384,834
8481795,4791004,10,0,23,0,0,32958,5534,0,0,374,177,1,0,0,1,1,0,1,0,1,0,1,0,48,230,0,2,7,0,1,0,5,18,1218,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,84,6,4,1,2,86,84,17,277,464
2286052,2312420,19,0,24,0,0,18751,2332,0,0,111,60,0,0,0,0,0,0,0,0,0,0,0,0,5,28,0,2,4,0,1,0,2,6,887,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,0,0,101,101,47,101,350
15031857,9741132,21,0,17,0,0,51820,10754,0,0,1194,176,1,0,1,1,1,1,1,0,1,0,1,0,38,469,0,18,0,1,0,0,0,21,2807,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,236,30,35,18,21,0,0,0,0,0
9018211,8625088,9,0,17,0,0,54934,8725,0,0,1462,299,0,0,0,1,1,0,1,0,1,0,1,0,42,488,0,15,12,0,0,0,0,24,2252,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,336,52,43,23,23,0,0,0,0,0
9597496,5200000,8,0,22,0,0,34274,5038,0,0,511,205,1,0,1,1,1,1,1,0,1,0,1,0,36,289,0,13,26,1,16,0,10,17,2651,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,176,7,8,16,13,2,2,0,2,6
105015,88172,3,0,0,0,0,399,68,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
7486981,5971052,9,0,16,0,0,41061,5724,0,0,749,248,1,0,0,1,1,1,1,0,1,0,1,0,97,452,0,2,16,0,0,0,0,51,1783,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,149,26,6,17,1,375,0,1,509,885
8250699,5838488,9,0,21,0,0,41427,6165,0,0,382,127,1,0,0,1,1,0,1,0,1,0,1,0,64,344,0,1,18,2,4,0,1,24,1443,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,104,9,15,2,1,441,39,2,168,650
10300315,4273372,7,0,16,0,0,25960,4264,0,0,586,135,1,0,0,1,1,0,1,0,1,0,1,0,136,531,0,0,119,0,0,0,0,78,1674,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,159,20,18,7,0,902,0,1,39,942
827942,1291828,16,0,21,0,0,8976,1220,0,0,95,15,0,0,0,1,1,0,0,0,1,0,0,0,0,25,0,4,2,0,0,0,0,4,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,1,4,3,3,4,14
56439,59376,2,0,0,0,0,200,35,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
958671,288468,3,0,0,0,0,1305,254,0,0,17,11,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,125,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,26,5,5,0,0,0,0,0,0,0
473443,125324,3,0,0,0,0,456,81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,21,0,1,0,0,0,0,0,0,124,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
8337663,6556384,16,0,22,0,0,39217,7383,0,0,922,121,0,0,0,1,1,0,1,0,1,0,1,0,14,39,0,0,3,0,0,0,0,1,582,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,10,1,1,80,79,6,79,244
1401487,304064,8,0,21,0,0,19,3,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,17,4,2,8,31
1363074,827664,3,0,12,0,0,2806,476,0,0,115,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,72,0,72,0,144
136127,121156,3,0,0,0,0,446,85,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2,0,0,0,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
278870,244472,1,0,0,0,0,836,147,0,0,31,8,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
3670717,782540,8,0,0,0,0,4806,783,0,0,75,0,0,0,0,1,1,0,1,0,1,0,1,0,27,107,0,7,6,0,0,0,0,23,829,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30,5,7,0,0,286,1,1,115,403
468697,230708,3,0,0,0,0,924,139,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,6,0,0,0,4,6,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0
211749,267816,3,0,0,0,0,882,156,0,0,32,10,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,12,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
91434,84596,3,0,0,0,0,267,73,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,25,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0
2622148,3829916,9,0,16,0,0,24116,3580,0,0,181,35,0,0,0,1,1,0,0,0,0,0,0,0,19,40,0,7,1,0,3,0,0,6,645,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,26,4,4,0,1,184,118,1,124,427
217978,51092,5,0,19,0,0,190,54,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,11,13,3,5,32
14157175,7011504,19,0,24,0,0,48916,7965,0,0,763,106,0,0,0,1,1,1,1,0,0,0,0,0,33,127,0,5,6,1,1,0,12,9,1958,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,35,16,6,2,2,329,274,6,265,874
13837341,3943900,9,0,9,0,0,21862,3662,0,0,1015,106,0,0,0,1,1,0,1,0,1,0,1,0,91,225,0,0,6,0,0,0,0,17,926,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,123,4,4,0,1,55,23,3,55,136
16127948,6303112,10,0,22,0,0,40475,6737,0,0,377,136,1,0,1,1,1,1,1,0,1,0,1,0,31,128,0,6,33,0,1,0,3,13,2617,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,32,10,34,0,0,460,429,2,421,1312
2156431,1500460,14,0,23,0,0,9984,1416,0,0,62,35,0,0,0,1,0,0,0,0,0,0,1,0,9,24,0,2,2,0,1,0,2,5,615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,83,83,3,83,252
609804,670636,10,0,22,0,0,4424,847,0,0,65,45,0,0,0,1,1,0,0,0,0,0,0,0,9,23,0,4,8,2,0,0,0,4,171,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,4,0,1,30,30,0,29,89
110446,140128,5,0,0,0,0,512,101,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,2,3,1,0,6
8848016,2742892,9,0,19,0,0,15309,2756,0,0,354,70,0,0,0,1,1,0,1,0,1,0,1,0,39,209,0,5,43,0,0,0,0,23,2114,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,68,15,16,0,5,98,283,17,65,463
989682,996800,3,0,0,0,0,5094,730,0,0,147,4,1,0,0,1,1,0,0,0,1,0,0,0,8,15,0,0,3,0,6,0,0,2,189,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,21,4,4,1,0,58,0,0,0,58
